"REID","PIN","ADDRESS","LAND_CLASS","ASSESSED_VALUE_2024","VCS","ASSESSED_VALUE_2025","ASSESSED_VALUE_2021","ASSESSED_VALUE_2022","ASSESSED_VALUE_2023","ASSESSMENT_CHANGE","VCS_NEIGHBORHOOD","NEIGHBORHOOD","COUNTY","PRICE","SALE_DATE","SALE_YEAR","SALE_YEAR_ASSESSED_VALUE","SALES_RATIO"
"100205",822429524,"1412  W MARKHAM AVE","RES/ 1-FAMILY",761874,"R822C - TRINITY HEIGHTS",1243206,761874,761874,761874,63.1773757865474,"TRINITY HEIGHTS","Trinity Heights","Durham County",1203000,"2023-06-28",2023,761874,0.633311720698254
"100207",822521513,"801   ONSLOW ST","RES/ 2-FAMILY",690662,"R822C - TRINITY HEIGHTS",1317256,690345,690345,690662,90.7236824959242,"TRINITY HEIGHTS","Trinity Heights","Durham County",775000,"2021-11-10",2021,690345,0.890767741935484
"100208",822521621,"805   ONSLOW ST","RES/ 1-FAMILY",436761,"R822C - TRINITY HEIGHTS",740625,436761,436761,436761,69.572145864672,"TRINITY HEIGHTS","Trinity Heights","Durham County",720000,"2023-09-15",2023,436761,0.6066125
"100238",822432065,"820   CLARENDON ST","RES/ 1-FAMILY",276830,"R822C - TRINITY HEIGHTS",509504,276830,276830,276830,84.0494166094715,"TRINITY HEIGHTS","Trinity Heights","Durham County",435000,"2021-08-19",2021,276830,0.636390804597701
"100241",822422855,"812   CLARENDON ST","RES/ 1-FAMILY",305032,"R822C - TRINITY HEIGHTS",319000,305032,305032,305032,4.57919169136353,"TRINITY HEIGHTS","Trinity Heights","Durham County",4e+05,"2022-10-03",2022,305032,0.76258
"100258",822426710,"820   SEDGEFIELD ST","RES/ 1-FAMILY",477059,"R822C - TRINITY HEIGHTS",892628,477059,477059,477059,87.1106089603173,"TRINITY HEIGHTS","Trinity Heights","Durham County",885000,"2022-05-19",2022,477059,0.539049717514124
"100259",822426714,"824   SEDGEFIELD ST","RES/ 1-FAMILY",573615,"R822C - TRINITY HEIGHTS",961211,460735,573615,573615,67.5707573895383,"TRINITY HEIGHTS","Trinity Heights","Durham County",875000,"2021-06-15",2021,460735,0.526554285714286
"100270",822427777,"817   BERKELEY ST","RES/ 1-FAMILY",511725,"R822C - TRINITY HEIGHTS",1034519,511725,511725,511725,102.163075870829,"TRINITY HEIGHTS","Trinity Heights","Durham County",1062000,"2022-06-16",2022,511725,0.481850282485876
"100278",822641843,"1116  N BUCHANAN BLVD","RES/ 1-FAMILY",504383,"R822D - WALL TOWN",830384,491138,504383,504383,64.6336216724196,"WALL TOWN","Trinity Park","Durham County",631000,"2021-04-27",2021,491138,0.778348652931854
"100282",822641648,"1110  N BUCHANAN BLVD","RES/ 1-FAMILY",310251,"R822D - WALL TOWN",503548,310251,310251,310251,62.3034252911352,"WALL TOWN","Trinity Park","Durham County",417500,"2021-02-03",2021,310251,0.743116167664671
"100327",822545477,"1101   LANCASTER ST","RES/ 1-FAMILY",247894,"R822D - WALL TOWN",424944,247894,247894,247894,71.4216560304001,"WALL TOWN","Walltown","Durham County",495000,"2022-04-20",2022,247894,0.50079595959596
"100341",822540984,"1120   BERKELEY ST","RES/ 1-FAMILY",168637,"R822D - WALL TOWN",402797,168637,168637,168637,138.854462543807,"WALL TOWN","Walltown","Durham County",375000,"2022-02-24",2022,168637,0.449698666666667
"100345",822540774,"1112   BERKELEY ST","RES/ 1-FAMILY",259126,"R822D - WALL TOWN",458914,259126,259126,259126,77.1007154820435,"WALL TOWN","Walltown","Durham County",439000,"2023-06-06",2023,259126,0.59026423690205
"100349",822540549,"1104   BERKELEY ST","RES/ 1-FAMILY",166322,"R822D - WALL TOWN",331981,166322,166322,166322,99.6013756448335,"WALL TOWN","Walltown","Durham County",335000,"2024-10-16",2024,166322,0.496483582089552
"100377",822448552,"1502   ENGLEWOOD AVE","RES/ 1-FAMILY",185872,"R822D - WALL TOWN",346157,185872,185872,185872,86.2340750624086,"WALL TOWN","Walltown","Durham County",338000,"2024-12-06",2024,185872,0.549917159763314
"100388",822641323,"1022  N BUCHANAN BLVD","RES/ 2-FAMILY",257805,"R822D - WALL TOWN",380332,257805,257805,257805,47.5270068462598,"WALL TOWN","Trinity Park","Durham County",290000,"2021-05-03",2021,257805,0.88898275862069
"100392",822641113,"1014  N BUCHANAN BLVD","RES/ 1-FAMILY",298172,"R822D - WALL TOWN",420822,298172,298172,298172,41.1339763626363,"WALL TOWN","Trinity Park","Durham County",455000,"2022-05-24",2022,298172,0.655323076923077
"100406",822642077,"1313   WATTS ST","RES/ 1-FAMILY",323342,"R822A - TRINITY PARK",506814,198261,280294,323342,56.7423965955552,"TRINITY PARK","Trinity Park","Durham County",415000,"2021-03-26",2021,198261,0.47773734939759
"100410",822642287,"1321   WATTS ST","RES/ 1-FAMILY",349097,"R822A - TRINITY PARK",554382,347900,349097,349097,58.804572941045,"TRINITY PARK","Trinity Park","Durham County",540000,"2024-10-08",2024,349097,0.646475925925926
"100412",822547365,"1022   LANCASTER ST","RES/ 2-FAMILY",147869,"R822D - WALL TOWN",360063,147869,147869,147869,143.501342404426,"WALL TOWN","Walltown","Durham County",285000,"2022-07-01",2022,147869,0.518838596491228
"100413",822547360,"1020   LANCASTER ST","RES/ 2-FAMILY",215376,"R822D - WALL TOWN",351962,146375,146375,215376,63.4174652700394,"WALL TOWN","Walltown","Durham County",285000,"2022-07-01",2022,146375,0.51359649122807
"100423",822537840,"1000   LANCASTER ST","RES/ 1-FAMILY",242160,"R822D - WALL TOWN",431058,242160,242160,242160,78.0054509415263,"WALL TOWN","Walltown","Durham County",435000,"2023-12-15",2023,242160,0.556689655172414
"100440",822544107,"1016   ONSLOW ST","RES/ 1-FAMILY",819881,"R822D - WALL TOWN",1114729,819881,819881,819881,35.96229208873,"WALL TOWN","Walltown","Durham County",1125000,"2024-04-25",2024,819881,0.728783111111111
"100442",822543097,"1012   ONSLOW ST","RES/ 1-FAMILY",292024,"R822D - WALL TOWN",594620,292024,292024,292024,103.620250390379,"WALL TOWN","Walltown","Durham County",585000,"2023-09-15",2023,292024,0.499186324786325
"100443",822543092,"1010   ONSLOW ST","RES/ 1-FAMILY",545162,"R822D - WALL TOWN",927307,116318,438095,545162,70.0975122990964,"WALL TOWN","Walltown","Durham County",9e+05,"2022-01-11",2022,438095,0.486772222222222
"100446",822533887,"1004   ONSLOW ST","RES/ 2-FAMILY",173733,"R822D - WALL TOWN",387280,173733,173733,173733,122.916774590895,"WALL TOWN","Walltown","Durham County",305000,"2022-04-14",2022,173733,0.569616393442623
"100448",822534831,"1306  W KNOX ST","RES/ 1-FAMILY",97038,"R822D - WALL TOWN",226800,97038,97038,97038,133.722871452421,"WALL TOWN","Walltown","Durham County",220000,"2024-06-11",2024,97038,0.441081818181818
"100449",822535801,"1304  W KNOX ST","RES/ 1-FAMILY",150774,"R822D - WALL TOWN",315606,150774,150774,150774,109.323888734132,"WALL TOWN","Walltown","Durham County",245000,"2021-09-03",2021,150774,0.615404081632653
"100456",822545151,"1013   LANCASTER ST","RES/ 1-FAMILY",248615,"R822D - WALL TOWN",397760,163640,248615,248615,59.9903465197192,"WALL TOWN","Walltown","Durham County",340000,"2021-12-10",2021,163640,0.481294117647059
"100459",822545266,"1019   LANCASTER ST","RES/ 2-FAMILY",401835,"R822D - WALL TOWN",651897,401835,401835,401835,62.2300197842398,"WALL TOWN","Walltown","Durham County",610000,"2023-05-30",2023,401835,0.658745901639344
"100473",822540038,"1010   BERKELEY ST","RES/ 2-FAMILY",186499,"R822D - WALL TOWN",431501,186604,186604,186499,131.369069003051,"WALL TOWN","Walltown","Durham County",272000,"2021-05-17",2021,186604,0.686044117647059
"100494",822446282,"1014   SEDGEFIELD ST","RES/ 2-FAMILY",180066,"R822D - WALL TOWN",397007,108960,108960,180066,120.478602290271,"WALL TOWN","Walltown","Durham County",310000,"2022-07-01",2022,108960,0.351483870967742
"100498",822446071,"1006   SEDGEFIELD ST","RES/ 1-FAMILY",584469,"R822D - WALL TOWN",1054463,577880,577880,577880,80.4138457300558,"WALL TOWN","Walltown","Durham County",1e+06,"2021-07-02",2021,577880,0.57788
"100501",822436815,"1518  W KNOX ST","RES/ 1-FAMILY",348439,"R822D - WALL TOWN",569362,172664,172664,348439,63.4036373655073,"WALL TOWN","Walltown","Durham County",545000,"2023-04-10",2023,348439,0.639337614678899
"100506",822438936,"1007   BERKELEY ST","RES/ 1-FAMILY",269871,"R822D - WALL TOWN",400433,167710,269871,269871,48.3794109037281,"WALL TOWN","Walltown","Durham County",402000,"2024-09-26",2024,269871,0.671320895522388
"100507",822448031,"1009   BERKELEY ST","RES/ 1-FAMILY",318379,"R822D - WALL TOWN",463186,212426,212426,318379,45.4825852207589,"WALL TOWN","Walltown","Durham County",432000,"2022-06-02",2022,212426,0.491726851851852
"100510",822448146,"1015   BERKELEY ST","RES/ 1-FAMILY",237010,"R822D - WALL TOWN",391754,194212,194212,194212,65.2900721488545,"WALL TOWN","Walltown","Durham County",337000,"2023-01-19",2023,194212,0.576296735905044
"100566",822346931,"1114   IREDELL ST","RES/ 1-FAMILY",716706,"R822E - OLD W DURHAM",905718,454657,716706,716706,26.3723200308076,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",950000,"2021-08-13",2021,454657,0.478586315789474
"100600",822344947,"1117   IREDELL ST","RES/ 1-FAMILY",365943,"R822E - OLD W DURHAM",813694,365943,365943,365943,122.355394146083,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",834000,"2024-05-28",2024,365943,0.438780575539568
"100610",822249649,"2006   ENGLEWOOD AVE","RES/ 1-FAMILY",340734,"R822E - OLD W DURHAM",521307,296508,340734,340734,52.9952983852507,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",518000,"2021-08-20",2021,296508,0.572409266409266
"100613",822340782,"1105   NINTH ST","RES/ 2-FAMILY",255324,"R822E - OLD W DURHAM",538866,255324,255324,255324,111.05184001504,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",340000,"2022-11-30",2022,255324,0.750952941176471
"100619",822350180,"1917  W CLUB BLVD","RES/ 1-FAMILY",395980,"R822F - WATTS HILLANDALE",593452,277201,395980,395980,49.8691853123895,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",628000,"2021-06-09",2021,277201,0.441402866242038
"100620",822350131,"1919  W CLUB BLVD","RES/ 1-FAMILY",330453,"R822F - WATTS HILLANDALE",699010,330453,330453,330453,111.530837970907,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",705000,"2024-08-30",2024,330453,0.468727659574468
"100628",822443237,"1016   CLARENDON ST","RES/ 1-FAMILY",182619,"R822D - WALL TOWN",424386,182619,182619,182619,132.38874377803,"WALL TOWN","Walltown","Durham County",350000,"2021-08-24",2021,182619,0.521768571428571
"100639",822435816,"1001   SEDGEFIELD ST","RES/ 1-FAMILY",353756,"R822D - WALL TOWN",584030,165751,165751,248709,65.0940196067346,"WALL TOWN","Walltown","Durham County",580000,"2023-05-01",2023,248709,0.428808620689655
"100664",822441013,"1005   CLARENDON ST","RES/ 1-FAMILY",180570,"R822D - WALL TOWN",496092,180570,180570,180570,174.736667220469,"WALL TOWN","Walltown","Durham County",542000,"2022-06-10",2022,180570,0.333154981549815
"100707",822333986,"1003   IREDELL ST","RES/ 1-FAMILY",351671,"R822E - OLD W DURHAM",604902,203181,203181,351671,72.007927864396,"OLD W DURHAM","Old West Durham","Durham County",645000,"2022-10-14",2022,203181,0.315009302325581
"100709",822343096,"1007   IREDELL ST","RES/ 1-FAMILY",274203,"R822E - OLD W DURHAM",465713,274203,274203,274203,69.8424160202478,"OLD W DURHAM","Old West Durham","Durham County",475000,"2024-07-17",2024,274203,0.57726947368421
"100718",822344316,"1019   IREDELL ST","RES/ 1-FAMILY",626621,"R822E - OLD W DURHAM",727162,626621,626621,626621,16.0449458284992,"OLD W DURHAM","Old West Durham","Durham County",735000,"2021-02-03",2021,626621,0.852545578231293
"100722",822248150,"2012  W KNOX ST","RES/ 1-FAMILY",215335,"R822E - OLD W DURHAM",490778,215335,215335,215335,127.913715838113,"OLD W DURHAM","Old West Durham","Durham County",380000,"2021-05-05",2021,215335,0.566671052631579
"100733",822248520,"2011   ENGLEWOOD AVE","RES/ 2-FAMILY",343670,"R822E - OLD W DURHAM",581462,236613,343670,343670,69.1919574009951,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",510000,"2021-06-23",2021,236613,0.463947058823529
"100734",822247571,"2015   ENGLEWOOD AVE","RES/ 2-FAMILY",258368,"R822E - OLD W DURHAM",575441,258368,258368,258368,122.721467054744,"OLD W DURHAM","Watts Hospital-Hillandale","Durham County",547500,"2022-01-18",2022,258368,0.47190502283105
"100748",822467281,"1314   SEDGEFIELD ST","RES/ 1-FAMILY",599888,"R822D - WALL TOWN",925938,210504,210504,599888,54.3518123383031,"WALL TOWN","Walltown","Durham County",950000,"2024-07-17",2024,599888,0.631461052631579
"100760",822464320,"1318   CLARENDON ST","RES/ 1-FAMILY",234860,"R822D - WALL TOWN",449995,234860,234860,234860,91.601379545261,"WALL TOWN","Walltown","Durham County",502000,"2022-03-18",2022,234860,0.467848605577689
"100761",822464225,"1316   CLARENDON ST","RES/ 1-FAMILY",290033,"R822D - WALL TOWN",423955,290033,290033,290033,46.1747456323936,"WALL TOWN","Walltown","Durham County",440000,"2022-06-21",2022,290033,0.659165909090909
"100766",822464000,"1306   CLARENDON ST","RES/ 1-FAMILY",182035,"R822D - WALL TOWN",373921,182035,182035,182035,105.41159667097,"WALL TOWN","Walltown","Durham County",379000,"2024-08-12",2024,182035,0.480303430079156
"100770",822455864,"1301   SEDGEFIELD ST","RES/ 1-FAMILY",361687,"R822D - WALL TOWN",471821,196380,196380,361687,30.4500852947438,"WALL TOWN","Walltown","Durham County",512500,"2022-12-09",2022,196380,0.383180487804878
"100808",822457974,"1306   SEDGEFIELD ST","RES/ 1-FAMILY",593460,"R822D - WALL TOWN",846341,167086,612906,593460,42.6112964647997,"WALL TOWN","Walltown","Durham County",795000,"2022-02-24",2022,612906,0.770950943396226
"100829",822458390,"1207   BERKELEY ST","RES/ 1-FAMILY",191208,"R822D - WALL TOWN",342823,191208,191208,191208,79.2932304087695,"WALL TOWN","Walltown","Durham County",333000,"2024-03-28",2024,191208,0.574198198198198
"100833",822458495,"1215   BERKELEY ST","RES/ 1-FAMILY",273663,"R822D - WALL TOWN",421864,273663,273663,273663,54.1545623631985,"WALL TOWN","Walltown","Durham County",425000,"2022-03-29",2022,273663,0.643912941176471
"100846",822453693,"1218   CLARENDON ST","RES/ 1-FAMILY",186528,"R822D - WALL TOWN",384108,186528,186528,186528,105.925115800309,"WALL TOWN","Walltown","Durham County",390000,"2024-10-07",2024,186528,0.478276923076923
"100847",822453598,"1216   CLARENDON ST","RES/ 2-FAMILY",196603,"R822D - WALL TOWN",365038,196603,196603,196603,85.6726499595632,"WALL TOWN","Walltown","Durham County",280000,"2021-11-30",2021,196603,0.702153571428571
"100849",822453488,"1212   CLARENDON ST","RES/ 1-FAMILY",294547,"R822D - WALL TOWN",409540,189461,294547,294547,39.0406284905295,"WALL TOWN","Walltown","Durham County",450000,"2021-07-01",2021,189461,0.421024444444444
"100907",822477801,"1710   FOREST RD","RES/ 1-FAMILY",135772,"R822G - BROAD ACRES",336680,135772,135772,135772,147.974545561677,"BROAD ACRES","Walltown","Durham County",331000,"2023-08-11",2023,135772,0.410187311178248
"100927",822476633,"1707   FOREST RD","RES/ 1-FAMILY",147743,"R822G - BROAD ACRES",366624,117179,117179,147743,148.149827741416,"BROAD ACRES","Walltown","Durham County",350000,"2022-03-07",2022,117179,0.334797142857143
"100930",822474796,"1713   FOREST RD","RES/ 1-FAMILY",164495,"R822G - BROAD ACRES",304697,138895,138895,138895,85.2317699626128,"BROAD ACRES","Walltown","Durham County",295000,"2023-06-21",2023,138895,0.470830508474576
"100947",822373961,"2213   GUESS RD","RES/ 1-FAMILY",142532,"R822G - BROAD ACRES",319846,142532,142532,142532,124.40294109393,"BROAD ACRES","Watts Hospital-Hillandale","Durham County",310000,"2021-10-06",2021,142532,0.45978064516129
"100953",822374584,"1806   SUNSET AVE","RES/ 1-FAMILY",302584,"R822F - WATTS HILLANDALE",618682,302584,302584,302584,104.466197816144,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",605000,"2022-05-27",2022,302584,0.500138842975207
"100963",822371714,"1905   WAGONER ST","RES/ 1-FAMILY",346930,"R822F - WATTS HILLANDALE",557017,346930,346930,346930,60.5560199463869,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",549000,"2024-11-06",2024,346930,0.631930783242259
"100964",822371616,"1802   MARYLAND AVE","RES/ 1-FAMILY",266523,"R822F - WATTS HILLANDALE",424817,266523,266523,266523,59.3922475733802,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",357500,"2021-05-13",2021,266523,0.745518881118881
"100970",822372665,"1707   DELAWARE AVE","RES/ 1-FAMILY",294520,"R822F - WATTS HILLANDALE",476305,288740,288740,288740,61.7224636696998,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",390000,"2021-03-24",2021,288740,0.740358974358974
"101018",822377152,"1420   PENNSYLVANIA AVE","RES/ 1-FAMILY",379981,"R822F - WATTS HILLANDALE",501786,219124,379981,379981,32.0555501459283,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",480000,"2021-10-04",2021,219124,0.456508333333333
"101026",822367538,"1400   PENNSYLVANIA AVE","RES/ 1-FAMILY",308268,"R822F - WATTS HILLANDALE",486933,308268,308268,308268,57.9576861691775,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",470000,"2022-10-27",2022,308268,0.655889361702128
"101047",822374032,"1610   DELAWARE AVE","RES/ 1-FAMILY",422894,"R822F - WATTS HILLANDALE",647863,422894,422894,422894,53.1974915699915,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",675000,"2024-04-19",2024,422894,0.62650962962963
"101051",822364728,"1602   DELAWARE AVE","RES/ 1-FAMILY",315729,"R822F - WATTS HILLANDALE",579040,315729,315729,315729,83.3977873429428,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",701000,"2022-06-03",2022,315729,0.450398002853067
"101063",822371319,"1706   MARYLAND AVE","RES/ 1-FAMILY",411130,"R822F - WATTS HILLANDALE",573146,369672,411130,411130,39.4074866830443,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",550000,"2021-05-14",2021,369672,0.672130909090909
"101064",822371313,"1704   MARYLAND AVE","RES/ 1-FAMILY",633146,"R822F - WATTS HILLANDALE",810421,195502,195502,108000,27.9990713042489,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",9e+05,"2023-05-05",2023,108000,0.12
"101065",822371217,"1702   MARYLAND AVE","RES/ 1-FAMILY",412460,"R822F - WATTS HILLANDALE",553028,332699,388472,388472,34.0803956747321,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",535000,"2021-08-27",2021,332699,0.621867289719626
"101067",822371115,"1614   MARYLAND AVE","RES/ 1-FAMILY",342538,"R822F - WATTS HILLANDALE",680776,342538,342538,342538,98.7446648255084,"WATTS HILLANDALE","Watts Hospital-Hillandale","Durham County",501500,"2023-08-01",2023,342538,0.683026919242273
"101085",811730254,"1409   PINECREST RD","RES/ 1-FAMILY",542413,"R811A - DUKE UNIV HOMESITES SEC6",985295,677282,677282,542413,81.6503291772137,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",1151000,"2021-09-30",2021,677282,0.58842919200695
"101087",811639117,"2611   MCDOWELL RD","RES/ 1-FAMILY",488774,"R811A - DUKE UNIV HOMESITES SEC6",821870,357112,357112,488774,68.1492878099081,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",820000,"2022-08-19",2022,357112,0.43550243902439
"101103",811624662,"2605   SEVIER ST","RES/ 1-FAMILY",447311,"R811A - DUKE UNIV HOMESITES SEC6",800418,447311,447311,447311,78.9399321724706,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",715500,"2022-06-24",2022,447311,0.625172606568833
"101112",811636385,"2604   MCDOWELL RD","RES/ 1-FAMILY",482187,"R811A - DUKE UNIV HOMESITES SEC6",876791,482187,482187,482187,81.8363000246792,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",850000,"2022-05-06",2022,482187,0.567278823529412
"101115",811634653,"1511   PINECREST RD","RES/ 1-FAMILY",542344,"R811A - DUKE UNIV HOMESITES SEC6",831229,542344,542344,542344,53.2660082899414,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",870000,"2021-11-12",2021,542344,0.623383908045977
"101116",811633762,"1513   PINECREST RD","RES/ 1-FAMILY",510460,"R811A - DUKE UNIV HOMESITES SEC6",868090,510460,510460,510460,70.0603377345923,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",292500,"2022-04-01",2022,510460,1.74516239316239
"101117",811632880,"1515   PINECREST RD","RES/ 1-FAMILY",542330,"R811A - DUKE UNIV HOMESITES SEC6",953065,542330,542330,542330,75.7352534434754,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",860000,"2022-10-04",2022,542330,0.630616279069767
"101118",811631878,"1527   PINECREST RD","RES/ 1-FAMILY",802075,"R811A - DUKE UNIV HOMESITES SEC6",1256774,682068,682068,682068,56.6903344450332,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",1600000,"2023-08-01",2023,682068,0.4262925
"101124",811622826,"2532   SEVIER ST","RES/ 1-FAMILY",489829,"R811A - DUKE UNIV HOMESITES SEC6",892622,438449,438449,489829,82.231350124227,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",8e+05,"2022-03-29",2022,438449,0.54806125
"101129",811539336,"2508   SEVIER ST","RES/ 1-FAMILY",515822,"R811A - DUKE UNIV HOMESITES SEC6",870783,515822,515822,515822,68.8146298529338,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",713000,"2021-08-20",2021,515822,0.72345301542777
"101137",811621468,"2610   SEVIER ST","RES/ 1-FAMILY",553607,"R811A - DUKE UNIV HOMESITES SEC6",850619,553607,553607,553607,53.6503331785906,"DUKE UNIV HOMESITES SEC6","Duke Forest","Durham County",790000,"2023-09-29",2023,553607,0.70076835443038
