"NAME","GEOG","NID","ASSESSMENT_CHANGE","SALES_QUARTILE","OVER_UNDER","D_OVER_UNDER","COUNT","D_COUNT","MED_SALES_PRICE","MED_SALES_RATIO","COD","D_COD","PRD","N_LOW_COUNT","VCS_LOW_COUNT"
"Anderson St. / Wrightwood Park","neighborhood",26,158.723873365073,"Q1","Accurate","Accurate",2,2,315750,0.573921148188196,2.49030475554171,2.45870006408826,0.998680678627886,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",27,113.976047541855,"Q1","Overassessed","Overassessed",9,9,287000,0.766501886792453,6.48766870751605,34.8379454784157,0.983329564501091,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",28,95.5862188629976,"Q2","Accurate","Accurate",4,4,482500,0.594345568535826,1.57651800556257,3.19580434202634,0.965720954329606,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",29,72.2847357918799,"Q2","Overassessed","Overassessed",4,4,482000,0.747985289259013,11.8337222573771,29.3927615127392,0.900762686205519,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",30,124.2429387328,"Q2","Underassessed","Underassessed",3,3,510000,0.494670588235294,3.56796966284693,15.4206030622923,0.927607338179511,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",31,75.8734358219503,"Q3","Accurate","Accurate",2,2,667500,0.573427456940223,3.8683300914231,3.81595141514635,0.925304451846736,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",32,46.7484932283788,"Q3","Overassessed","Overassessed",3,3,640000,0.756992647058824,7.96196913534816,30.4816492938716,1.00050227429709,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",33,109.22076419656,"Q3","Underassessed","Underassessed",6,6,680260,0.452494444444444,9.0721749995103,21.2276966965381,0.940675199965827,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",34,73.413415901344,"Q4","Accurate","Accurate",3,3,770000,0.53745375,1.53342394957555,6.78163785044622,0.87163641286235,NA,NA
"Anderson St. / Wrightwood Park","neighborhood",35,72.5147574139157,"Q4","Underassessed","Underassessed",6,6,850000,0.449147079812207,12.7595443182919,22.9324931243737,0.792202296407899,NA,NA
"Archer Woods","neighborhood",36,82.6562108514034,"Q1","Overassessed","Overassessed",3,3,315000,0.819360501567398,18.1692316250113,47.4076578117427,1.0269135947082,NA,NA
"Archer Woods","neighborhood",37,108.074615252051,"Q2","Accurate","Accurate",2,2,340000,0.59599705882353,5.50239588628052,5.64152837429951,1,NA,NA
"Archer Woods","neighborhood",38,56.0999928498889,"Q2","Overassessed","Overassessed",2,2,345000,0.734123571428571,1.99236601856636,26.2903000784904,1.00028883209824,NA,NA
"Archer Woods","neighborhood",39,85.0002480812526,"Q3","Accurate","Accurate",3,3,375000,0.597958904109589,2.01508153726161,4.24419178152521,0.998325525498705,NA,NA
"Archer Woods","neighborhood",40,77.3383744102726,"Q4","Accurate","Accurate",2,2,452500,0.56541518075232,5.83950149682928,5.67994414709923,0.999033062696409,NA,NA
"Archer Woods","neighborhood",41,94.7566234645337,"Q4","Underassessed","Underassessed",2,2,493000,0.517561962298622,0.612723072575998,10.9645050618499,0.947803006623901,NA,NA
"Arrowhead","neighborhood",42,90.4001180278828,"Q1","Accurate","Accurate",2,2,320000,0.580043321123321,2.41834490573606,2.41312321218314,0.999622276337556,NA,NA
"Arrowhead","neighborhood",43,101.977113392652,"Q1","Overassessed","Overassessed",4,4,462500,0.781240607287449,6.9120707112294,33.5154906293837,0.995527166657099,NA,NA
"Arrowhead","neighborhood",44,56.1099885095157,"Q2","Overassessed","Overassessed",2,2,776250,0.747149003831418,9.68304598389311,28.5310478637801,1.01567876905535,NA,NA
"Arrowhead","neighborhood",45,121.511247761527,"Q2","Underassessed","Underassessed",2,2,833000,0.450644439237851,8.94173644545843,22.4762374142231,0.870424846435874,NA,NA
"Arrowhead","neighborhood",46,95.4597374989435,"Q3","Accurate","Accurate",2,2,1e+06,0.55258309239472,1.04577359494526,4.93986670250998,0.97969211691549,NA,NA
"Arrowhead","neighborhood",47,66.2563559730682,"Q3","Overassessed","Overassessed",3,3,1050000,0.725631818181818,5.51765675273089,20.9757315574002,1.0005974695196,NA,NA
"Arrowhead","neighborhood",48,68.3096766110715,"Q4","Accurate","Accurate",3,3,1720500,0.61351176983435,0.848726510730664,5.88058635928281,0.997817581172849,NA,NA
"Arrowhead","neighborhood",49,148.520803122204,"Q4","Underassessed","Underassessed",2,2,1197500,0.391726593444909,8.17872992227211,32.6117959424548,1.00017077508655,NA,NA
"Ashley Forest","neighborhood",50,76.9510370364124,"Q1","Overassessed","Overassessed",9,9,270000,0.832622727272727,10.0138945309037,39.0961815427503,1.01985582165856,NA,NA
"Ashley Forest","neighborhood",51,87.9133732235452,"Q2","Accurate","Accurate",7,7,372000,0.577619897959184,2.46304675674328,2.53786277133737,0.990496113996727,NA,NA
"Ashley Forest","neighborhood",52,80.1627384790011,"Q2","Overassessed","Overassessed",3,3,370000,0.642638676844784,0.436058893744373,10.2607326387182,0.999911163906143,NA,NA
"Ashley Forest","neighborhood",53,79.4215274398712,"Q3","Accurate","Accurate",4,4,417750,0.575609481791735,6.39301032896792,6.3304440077259,1.00003470806912,NA,NA
"Ashley Forest","neighborhood",54,75.3822894872382,"Q3","Overassessed","Overassessed",3,3,4e+05,0.6684275,4.08312720497574,16.3628135721953,0.998646159537174,NA,NA
"Ashley Forest","neighborhood",55,103.234737301849,"Q3","Underassessed","Underassessed",2,2,412500,0.512261684303351,3.26799703393714,11.87630482496,0.999406171562843,NA,NA
"Ashley Forest","neighborhood",56,91.8668020790278,"Q4","Accurate","Accurate",3,3,491000,0.550326086956522,0.308701537840057,5.55538108583735,0.974192161447315,NA,NA
"Ashley Forest","neighborhood",57,90.2534754833862,"Q4","Underassessed","Underassessed",6,6,458000,0.510379073349923,2.2771356747174,12.70305723636,1.00057546839936,NA,NA
"Ashton Hall","neighborhood",58,68.4936056863529,"Q1","Overassessed","Overassessed",15,15,360000,0.756088888888889,13.8594578080498,38.3978482196677,1.08540351283146,NA,NA
"Ashton Hall","neighborhood",59,67.8369661573358,"Q2","Accurate","Accurate",8,8,430000,0.604913372093023,3.11209122280125,4.18259159150277,0.999730138431697,NA,NA
"Ashton Hall","neighborhood",60,63.2448515324929,"Q2","Overassessed","Overassessed",6,6,423750,0.677497061824118,8.6392225282032,19.3738361451435,0.999859095923368,NA,NA
"Ashton Hall","neighborhood",61,65.493894113571,"Q3","Accurate","Accurate",7,7,467500,0.57812625250501,3.56785441404161,3.62634294300521,0.998199201269752,NA,NA
"Ashton Hall","neighborhood",62,59.9759035360352,"Q3","Overassessed","Overassessed",7,7,480000,0.693323170731707,6.96047105244681,24.932001120123,1.00297444058078,NA,NA
"Ashton Hall","neighborhood",63,63.52472875174,"Q4","Accurate","Accurate",6,6,577750,0.544269821683661,3.00500316486955,5.74107890109438,1.00094165212631,NA,NA
"Ashton Hall","neighborhood",64,60.1525339665548,"Q4","Overassessed","Overassessed",4,4,511000,0.646636940612776,1.28254284719687,11.2883277089668,1.00024158023083,NA,NA
"Ashton Hall","neighborhood",65,78.7344744108732,"Q4","Underassessed","Underassessed",4,4,646000,0.469209978035101,4.31824639266092,17.8448803588023,1.00238506057177,NA,NA
"Auburn Hills","neighborhood",66,89.8967719833313,"Q1","Accurate","Accurate",3,3,375000,0.582458666666667,3.22224542714358,3.29520617407238,1.00100526276448,NA,NA
"Auburn Hills","neighborhood",67,89.156879887904,"Q1","Overassessed","Overassessed",8,8,345500,0.742464023870418,7.53884179213132,25.9093861029158,1.00382165358933,NA,NA
"Auburn Hills","neighborhood",68,92.3781437534919,"Q2","Accurate","Accurate",6,6,415000,0.569578489326765,4.10009981793192,4.51250100285537,0.99477856306097,NA,NA
"Auburn Hills","neighborhood",69,88.1321329354477,"Q2","Overassessed","Overassessed",2,2,414250,0.652192787977041,1.58399773839375,12.1958565400209,1.00079406281934,NA,NA
"Auburn Hills","neighborhood",70,85.164342510286,"Q2","Underassessed","Underassessed",3,3,430000,0.523402325581395,1.92942918957412,11.5340331482535,1.0002202497331,NA,NA
"Auburn Hills","neighborhood",71,90.3924730123826,"Q3","Accurate","Accurate",8,8,468250,0.563968791146223,5.05290102266715,5.43256179491772,1.00150241764794,NA,NA
"Auburn Hills","neighborhood",72,89.8742390727199,"Q3","Underassessed","Underassessed",2,2,475500,0.499338585365854,4.85951123051459,14.0994483205225,0.997502404492977,NA,NA
"Auburn Hills","neighborhood",73,85.9851777769985,"Q4","Accurate","Accurate",5,5,555000,0.579170909090909,2.91373074754371,2.97626649530983,0.99899617475134,NA,NA
"Auburn Hills","neighborhood",74,101.252715639766,"Q4","Underassessed","Underassessed",5,5,560000,0.503142857142857,2.74130200782287,14.6262887323747,0.999300853234604,NA,NA
"Audubon Park","neighborhood",75,69.5858424202836,"Q1","Overassessed","Overassessed",16,16,381000,0.72023939965096,12.0613095380487,32.7551566754474,1.03487822623045,NA,NA
"Audubon Park","neighborhood",76,69.1075520277492,"Q2","Accurate","Accurate",12,12,434000,0.58071678187404,3.37207004105435,3.36869575968314,0.99670204198873,NA,NA
"Audubon Park","neighborhood",77,66.1518081448367,"Q2","Overassessed","Overassessed",3,3,408000,0.634632352941176,1.47650401432985,10.7447081264471,0.985475304801338,NA,NA
"Audubon Park","neighborhood",78,76.6609398651015,"Q3","Accurate","Accurate",10,10,494250,0.559257683073229,2.51109181861243,4.10473570789349,0.994254248621901,NA,NA
"Audubon Park","neighborhood",79,77.7025148834747,"Q3","Underassessed","Underassessed",5,5,509000,0.521753535353535,2.60263108496234,11.8726932629772,1.00033803502228,NA,NA
"Audubon Park","neighborhood",80,76.5321308522076,"Q4","Accurate","Accurate",8,8,528000,0.547869304638601,3.7755125039406,5.15515730563236,0.996711488044528,NA,NA
"Audubon Park","neighborhood",81,75.9222703110101,"Q4","Underassessed","Underassessed",7,7,555000,0.508309565217391,4.14938743508926,14.762566531223,1.00104605464736,NA,NA
"Autumn Ridge","neighborhood",82,70.5028392739514,"Q1","Overassessed","Overassessed",4,4,414500,0.771681578947368,11.7232551774424,32.3131771978143,1.01586088530596,NA,NA
"Autumn Ridge","neighborhood",83,69.5693745716225,"Q2","Accurate","Accurate",2,2,502500,0.620978520499109,0.360580355970303,6.8261076858229,0.99994618493264,NA,NA
"Autumn Ridge","neighborhood",84,73.0831181718037,"Q2","Overassessed","Overassessed",2,2,465000,0.741374907493062,7.85923508684563,27.537737762275,1.00084579380421,NA,NA
"Autumn Ridge","neighborhood",85,73.6090083942975,"Q3","Accurate","Accurate",4,4,538500,0.593809442436192,3.2962899398806,3.64210648542773,0.99993009967928,NA,NA
"Autumn Ridge","neighborhood",86,81.5265101062262,"Q4","Underassessed","Underassessed",2,2,6e+05,0.524385157390035,0.509732632667954,9.7907198993439,1.00012744939945,NA,NA
"Barclay to Sandlewood","neighborhood",87,48.8636551547711,"Q1","Accurate","Accurate",4,4,283500,0.574271137806548,3.19925996918783,3.38964734447099,0.946347709007963,NA,NA
"Barclay to Sandlewood","neighborhood",88,48.351727512204,"Q1","Overassessed","Overassessed",7,7,251000,0.762494117647059,51.8028663563365,94.8195478820526,1.25596243982052,NA,NA
"Barclay to Sandlewood","neighborhood",89,68.1838873461827,"Q2","Accurate","Accurate",6,6,320000,0.602881308962264,3.88874892859035,4.80412475022637,1.00027970399837,NA,NA
"Barclay to Sandlewood","neighborhood",90,53.3626897983862,"Q2","Overassessed","Overassessed",3,3,325500,0.641952380952381,2.46124313480656,12.4267314929897,0.949903919544395,NA,NA
"Barclay to Sandlewood","neighborhood",91,71.796137410388,"Q3","Accurate","Accurate",4,4,357500,0.552893199195171,2.32690536038944,4.42962647057466,0.99977124671225,NA,NA
"Barclay to Sandlewood","neighborhood",92,53.9036431824189,"Q3","Overassessed","Overassessed",3,3,379000,0.698277044854881,4.75639034672687,20.0880595267775,1.00193055381521,NA,NA
"Barclay to Sandlewood","neighborhood",93,59.8607670069877,"Q3","Underassessed","Underassessed",3,3,374000,0.475186394557823,1.77227486475659,17.3951659584973,0.999958355906947,NA,NA
"Barclay to Sandlewood","neighborhood",94,62.1910862372394,"Q4","Accurate","Accurate",6,6,447500,0.562021839982071,2.9961532794817,3.83326764861733,0.977227726148667,NA,NA
"Barclay to Sandlewood","neighborhood",95,51.9385354199913,"Q4","Overassessed","Overassessed",4,4,436500,0.700137731481481,2.29946756358627,19.100874966134,0.926554909617281,NA,NA
"Belcrest","neighborhood",96,96.608671414537,"Q1","Overassessed","Overassessed",3,3,410000,0.725848780487805,6.25766536845914,24.2246815645888,0.996254732931392,NA,NA
"Belcrest","neighborhood",97,98.0816893318888,"Q2","Accurate","Accurate",3,3,440000,0.577497777777778,3.12899801909338,3.32648198701453,0.999723707107975,NA,NA
"Belcrest","neighborhood",98,101.483681492974,"Q3","Accurate","Accurate",2,2,470000,0.550317600452745,0.862330668342773,5.32959626346215,0.999908271109818,NA,NA
"Belcrest","neighborhood",99,96.7092262456983,"Q4","Underassessed","Underassessed",2,2,552500,0.494496683046683,4.6983220473601,14.9323943266681,0.991333091616385,NA,NA
"Bennet Place","neighborhood",100,69.728756170233,"Q1","Accurate","Accurate",2,2,295000,0.598794915254237,1.73087755350436,3.00989162597639,1,NA,NA
"Bennet Place","neighborhood",101,71.0450497821965,"Q1","Overassessed","Overassessed",3,3,272500,0.871723333333333,16.1164466196928,60.3336347429913,1.02728372029446,NA,NA
"Bennet Place","neighborhood",102,78.0396071973948,"Q2","Accurate","Accurate",4,4,342500,0.565916122004357,4.22179422644116,5.16387320952158,0.999512467536362,NA,NA
"Bennet Place","neighborhood",103,73.4924463084134,"Q3","Accurate","Accurate",3,3,365000,0.553717808219178,3.21779797905068,4.64667865754554,0.945115246530444,NA,NA
"Bennet Place","neighborhood",104,82.2365038465452,"Q4","Accurate","Accurate",2,2,415000,0.582057485814055,5.25168585348397,5.25854318635913,1.00253735481633,NA,NA
"Bennet Place","neighborhood",105,57.104194051415,"Q4","Overassessed","Overassessed",2,2,394000,0.657304871134021,0.985863508785425,13.0752813957912,0.950338313160377,NA,NA
"Bent Creek / Woodberry Forest","neighborhood",106,79.124699027405,"Q1","Overassessed","Overassessed",4,4,446000,0.750539454545455,7.69407164139171,26.1933140831308,1.0005425436839,NA,NA
"Bent Creek / Woodberry Forest","neighborhood",107,95.8279865589189,"Q2","Underassessed","Underassessed",3,3,565000,0.47754188034188,3.67399484027785,15.3527908622694,0.958902078268476,NA,NA
"Bent Creek / Woodberry Forest","neighborhood",108,63.8968690863762,"Q3","Accurate","Accurate",2,2,630000,0.616621440726035,1.47586669752543,6.07656505645792,1.00035152035588,NA,NA
"Bent Creek / Woodberry Forest","neighborhood",109,116.713716370318,"Q3","Underassessed","Underassessed",2,2,610000,0.464699798427736,9.66744379235021,20.0583126957081,0.967799005597226,NA,NA
"Bent Creek / Woodberry Forest","neighborhood",110,82.0362188571687,"Q4","Accurate","Accurate",3,3,770000,0.624054545454545,4.91273818718861,7.72584083856005,0.998799891488255,NA,NA
"Bluffs of the Eno","neighborhood",111,99.3745404355145,"Q1","Overassessed","Overassessed",2,2,226000,0.690223795534665,0.794025405510177,18.738280109657,0.999859484277441,NA,NA
"Bluffs of the Eno","neighborhood",112,76.7082865659819,"Q2","Overassessed","Overassessed",2,2,263000,0.659308545401966,3.87514269061219,13.4199708110432,1.00044222696386,NA,NA
"Bluffs of the Eno","neighborhood",113,109.394859697786,"Q3","Underassessed","Underassessed",3,3,330000,0.480539156626506,0.975442155492176,17.8392100314219,0.973605584340652,NA,NA
"Bluffs of the Eno","neighborhood",114,112.030995561702,"Q4","Underassessed","Underassessed",3,3,365000,0.438265753424658,3.63860032544756,25.433831508032,0.97133401448839,NA,NA
"Bradbury Glen","neighborhood",115,100.998417645893,"Q1","Overassessed","Overassessed",2,2,330500,0.801402876269621,6.22331063112704,37.8642692686013,1.03001472165412,NA,NA
"Bradbury Glen","neighborhood",116,97.8861862582373,"Q2","Overassessed","Overassessed",3,3,410000,0.661834146341463,1.36800022096611,12.4575581115233,1.00016770754556,NA,NA
"Bradbury Glen","neighborhood",117,102.021485638042,"Q3","Accurate","Accurate",3,3,415500,0.618686746987952,2.28257153484901,4.67724466651377,1.00100657121825,NA,NA
"Bradbury Glen","neighborhood",118,120.165664931483,"Q4","Underassessed","Underassessed",3,3,491000,0.471078260869565,1.38433201475214,19.949376740331,1.00056125716074,NA,NA
"Bradbury Trace","neighborhood",119,91.6675568624139,"Q1","Accurate","Accurate",5,5,336000,0.550316417910448,2.87325821126922,5.89758431849136,1.00026267896016,NA,NA
"Bradbury Trace","neighborhood",120,85.6560680825042,"Q1","Overassessed","Overassessed",8,8,303500,0.725671876641799,6.54085041991104,26.7496826883214,1.00140724384215,NA,NA
"Bradbury Trace","neighborhood",121,88.2544434861534,"Q2","Accurate","Accurate",7,7,370000,0.603533954727031,2.70521695698424,4.05069419357486,0.996886420731951,NA,NA
"Bradbury Trace","neighborhood",122,85.5082819664563,"Q2","Overassessed","Overassessed",2,2,354250,0.642222875816993,0.7163640175412,10.4807458318898,1.00011628996782,NA,NA
"Bradbury Trace","neighborhood",123,137.094670301222,"Q2","Underassessed","Underassessed",3,3,378000,0.47903947368421,8.04817938645757,19.5402298040864,0.998387929931671,NA,NA
"Bradbury Trace","neighborhood",124,85.6676134284982,"Q3","Accurate","Accurate",8,8,406500,0.583100649350649,4.13625753806264,4.14908109328664,0.999998197256279,NA,NA
"Bradbury Trace","neighborhood",125,81.1605212358959,"Q3","Overassessed","Overassessed",3,3,395000,0.63893164556962,0.339401431716594,9.66079861933468,1.00003781240383,NA,NA
"Bradbury Trace","neighborhood",126,90.8943598238759,"Q4","Accurate","Accurate",7,7,430000,0.549861363636364,3.362788610649,4.8700322391039,1.00008118770431,NA,NA
"Bradbury Trace","neighborhood",127,96.6984319191786,"Q4","Underassessed","Underassessed",5,5,434500,0.5130333716916,2.65359043441777,12.3333511622708,0.979539178547045,NA,NA
"Bragtown","neighborhood",128,127.012907611302,"Q1","Accurate","Accurate",17,17,2e+05,0.59845,3.82778032559306,4.7004418657934,0.989900853448598,NA,NA
"Bragtown","neighborhood",129,72.9309096525926,"Q1","Overassessed","Overassessed",64,64,147500,0.796486702782566,25.2201229438744,56.9489132392732,1.0346259521822,NA,NA
"Bragtown","neighborhood",130,120.716049256255,"Q1","Underassessed","Underassessed",5,5,205000,0.497463414634146,4.69277589443308,16.8360611888312,1.00093816780364,NA,NA
"Bragtown","neighborhood",131,98.2511536415234,"Q2","Accurate","Accurate",31,31,240000,0.563401221995927,3.44324902492129,4.30582873963812,0.995712862029381,NA,NA
"Bragtown","neighborhood",132,68.7018736185822,"Q2","Overassessed","Overassessed",24,24,240000,0.768260014736584,9.02453644085421,30.5675387756082,0.959893779437471,NA,NA
"Bragtown","neighborhood",133,108.828364251967,"Q2","Underassessed","Underassessed",31,31,245000,0.472502127659574,13.2473748277638,24.6184498824277,0.859334906958287,NA,NA
"Bragtown","neighborhood",134,81.0965576030457,"Q3","Accurate","Accurate",12,12,285000,0.550742131661442,4.73345069165467,5.833023833521,0.995073916487221,NA,NA
"Bragtown","neighborhood",135,70.4509116254701,"Q3","Overassessed","Overassessed",15,15,297500,0.804892156862745,9.23271615290101,32.2003860918791,0.967434587904953,NA,NA
"Bragtown","neighborhood",136,114.479418314089,"Q3","Underassessed","Underassessed",59,59,285000,0.432731034482759,16.207404426626,29.3003072823272,0.857260869853151,NA,NA
"Bragtown","neighborhood",137,70.7574415783185,"Q4","Accurate","Accurate",28,28,380000,0.595247030075188,3.51407905875458,4.15297663875391,0.986429541317805,NA,NA
"Bragtown","neighborhood",138,62.1093723973623,"Q4","Overassessed","Overassessed",24,24,350000,0.660657070097399,5.81208546762689,17.5788721797991,0.982366934733759,NA,NA
"Bragtown","neighborhood",139,81.3350433815327,"Q4","Underassessed","Underassessed",34,34,343000,0.430788618964789,17.624349478465,31.2222266689364,0.679282653182677,NA,NA
"Brightleaf at the Park","neighborhood",140,78.1115893435823,"Q1","Accurate","Accurate",8,8,445000,0.587233284671533,4.49540376731813,4.54130002893934,1.00172211671649,NA,NA
"Brightleaf at the Park","neighborhood",141,71.5322836497297,"Q1","Overassessed","Overassessed",23,23,420000,0.744473529411765,21.1935131504214,43.8786477035178,1.08513935488835,NA,NA
"Brightleaf at the Park","neighborhood",142,81.695678024463,"Q1","Underassessed","Underassessed",2,2,430000,0.522733766233766,1.29166097315562,10.0748065201649,1.00030047653185,NA,NA
"Brightleaf at the Park","neighborhood",143,76.8118963986425,"Q2","Accurate","Accurate",13,13,506500,0.600760956175299,3.5358692630253,4.44154721752882,0.999413232455833,NA,NA
"Brightleaf at the Park","neighborhood",144,66.6556398778698,"Q2","Overassessed","Overassessed",17,17,5e+05,0.688104,8.99558262282889,23.6625039185965,1.00077760327873,NA,NA
"Brightleaf at the Park","neighborhood",145,88.6669595978596,"Q2","Underassessed","Underassessed",3,3,525000,0.528253465346535,0.427404253050512,9.17879520455407,1.00002906301806,NA,NA
"Brightleaf at the Park","neighborhood",146,73.6965790271691,"Q3","Accurate","Accurate",19,19,565000,0.583905555555556,3.33154639480472,3.37009320614954,0.99940807727541,NA,NA
"Brightleaf at the Park","neighborhood",147,61.9570197813015,"Q3","Overassessed","Overassessed",8,8,572500,0.671221575622445,2.77224393425713,15.0375944858303,0.999785088560035,NA,NA
"Brightleaf at the Park","neighborhood",148,87.2313837454222,"Q3","Underassessed","Underassessed",6,6,565250,0.506411697373766,3.27393749850443,12.9803948776346,0.999182766724863,NA,NA
"Brightleaf at the Park","neighborhood",149,72.9794030244535,"Q4","Accurate","Accurate",18,18,665000,0.586275242771413,3.98653810082013,4.15347479692343,0.998170908019698,NA,NA
"Brightleaf at the Park","neighborhood",150,64.7006525058801,"Q4","Overassessed","Overassessed",5,5,612000,0.658864516129032,1.65691196722804,12.724167222121,1.00000479862122,NA,NA
"Brightleaf at the Park","neighborhood",151,84.8255939366594,"Q4","Underassessed","Underassessed",9,9,678000,0.513265486725664,1.56147134688606,11.7574659952423,0.999937655042745,NA,NA
"Brightwood Trails","neighborhood",152,79.8400695079401,"Q1","Accurate","Accurate",3,3,433000,0.574281755196305,1.41582437780341,1.80109253578441,1.00081931124908,NA,NA
"Brightwood Trails","neighborhood",153,71.2043164464648,"Q1","Overassessed","Overassessed",7,7,408000,0.693384,4.7154990768604,21.9349918197352,1.00162731625573,NA,NA
"Brightwood Trails","neighborhood",154,77.7687799249503,"Q2","Accurate","Accurate",5,5,445000,0.607861386138614,2.9112616332379,5.72921830149831,1.00010997292728,NA,NA
"Brightwood Trails","neighborhood",155,74.9822347534171,"Q2","Overassessed","Overassessed",4,4,446500,0.66314393258427,2.00814155648558,13.8328583998912,1.00014879922843,NA,NA
"Brightwood Trails","neighborhood",156,76.8881258919488,"Q3","Accurate","Accurate",8,8,471250,0.609951648351648,1.52723681132073,4.71000508116099,1.00013352802504,NA,NA
"Brightwood Trails","neighborhood",157,73.960916754092,"Q4","Accurate","Accurate",6,6,513750,0.582534146341463,1.9018714945709,1.97299586169181,1.00072231908022,NA,NA
"Brightwood Trails","neighborhood",158,68.815433583794,"Q4","Overassessed","Overassessed",3,3,5e+05,0.683664,1.9397181794963,15.5821319596279,0.999485495138217,NA,NA
"Buck Crossing","neighborhood",159,78.8670791305717,"Q1","Overassessed","Overassessed",2,2,413000,0.73235072769953,4.46770530333843,25.9853201333606,1.00140827995354,"Y",NA
